sample_name	sample_name_original	barcode_prefix	sample_type	gcms_sample_name	gcms_sequence	gcms_analysis_batch	gcms_run_location	lcms_sample_name_fbmn	lcms_sample_name_cmn	lcms_batch	lcms_extraction_protocol	lcms_sample_type	lcms_sample_type_sub	collection_timestamp	depth_sample	depth_method	description	elevation	emp500_principal_investigator	emp500_study_id	emp500_title	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	environmental_package	geo_loc_name	host_subject_id	iron_mg_per_l	latitude	longitude	project_name	scientific_name	read_count_shotgun_r1	read_count_shotgun_woltka_uniq	read_count_shotgun_rep200	alpha_shotgun_woltka_min3450_richness	alpha_shotgun_woltka_min3450_shannon	alpha_shotgun_woltka_min3450_faithspd	alpha_shotgun_woltka_rar3450_richness	alpha_shotgun_woltka_rar3450_shannon	alpha_shotgun_woltka_rar3450_faithspd	alpha_shotgun_woltka_richness	alpha_shotgun_woltka_shannon	alpha_shotgun_woltka_faithspd	alpha_shotgun_woltka_min10k_richness	alpha_shotgun_woltka_min10k_shannon	alpha_shotgun_woltka_min10k_faithspd	alpha_shotgun_woltka_rar10k_richness	alpha_shotgun_woltka_rar10k_shannon	alpha_shotgun_woltka_rar10k_faithspd	songbird_trainTest_5050_empo_3	songbird_trainTest_5050_env_material	songbird_trainTest_8020_empo_3	songbird_trainTest_8020_env_material
13114.metcalf.40.s014	Metcalf40.10143.016.4.25.2013.Soil.ctrl.ctrlB	metcalf.40.s014	soil	EMP_Feces_metcalf_40_s014_a03_M_076	76	note applicable	UCSD	1A1_1_1_metcalf-40-s014-a04.mzML	1A1_1_1_metcalf-40-s014-a04	1	Bulk_201901_UCSD	Sample	Bulk	4/25/13 0:00	0	not applicable	10143.016.4.25.2013.Soil.ctrl.ctrlB	113.1	Metcalf	40	Mouse decomposition soil	EMP sample	Free-living	Non-saline	Soil (non-saline)	temperate coniferous forest biome	forest soil	soil	soil	soil	United States of America:State of Texas:City of Huntsville	Soil.ctrl.ctrlB	not applicable	30.71308	-95.55	Mouse decomposition experiment on contrasting soil types	soil metagenome	8290897	56828	182891	705	4.409516145	102.8139016	237	4.262975164	41.59773787	882	4.576000378	131.4010577	881	4.575415635	131.2044361	500	4.568723613	83.03688106	Train	Train	Train	Train
13114.mayer.34.s008	Mayer34.sediment.8	mayer.34.s008	sediment	EMP_Feces_mayer_34_s008_a03_M_087	87	note applicable	UCSD	1A10_1_12_mayer-34-s008-a04.mzML	1A10_1_12_mayer-34-s008-a04	1	Bulk_201901_UCSD	Sample	Bulk	1/21/16 0:00	0.1	not applicable	sediment sample SJ1	1735	Mayer	34	Animas watershed	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small river biome	tributary	stream sediment	sediment	sediment	United States of America:State of Colorado:San Juan County:Animas River	SJ1	not applicable	36.8237	-107.64787	Animas Watershed	freshwater sediment metagenome	13076909	24603	53958	600	6.383209602	107.6993707	331	6.296948968	71.67355958	1049	7.115714044	200.5574449	1048	7.114820327	200.548041	780	7.055988782	155.6690472	Train	Train	Train	Train
13114.king.27.s003	King27.Edge.1.2.0.2	king.27.s003	soil	EMP_Feces_king_27_s003_a03_M_212	212	note applicable	UCSD	1A11_1_13_king-27-s003-a04.mzML	1A11_1_13_king-27-s003-a04	1	Bulk_201901_UCSD	Sample	Bulk	4/24/14 0:00	not provided	not applicable	surface soil	1500	King	27	Puhimau Hawai'i volcanic soil	EMP sample	Free-living	Non-saline	Soil (non-saline)	forest biome	volcanic feature	volcanic soil	soil	soil	United States of America:State of Hawaii:Kilauea Volcano	King27.Edge1.2.0_2	not applicable	19.388694	-155.249333	Puhimau succession study	soil metagenome	1136926	498	2449	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	139	5.685761405	39.48791273	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Test	Test	Train
13114.lcms.blank.solvent.01	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	1B10_Blank.mzML	1B10_Blank	1	Bulk_201901_UCSD	Background_control	Solvent	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.berry.2.s009	Berry2.sediment.Pi31	berry.2.s009	sediment	EMP_Feces_berry_2_s009_a03_M_097	97	note applicable	UCSD	1A2_1_2_berry-2-s009-a04.mzML	1A2_1_2_berry-2-s009-a04	1	Bulk_201901_UCSD	Sample	Bulk	8/21/02 0:00	0.31	not applicable	Freshwater sediment core slice from Pickerel Pond MA.  Aseptically collected subsample.	69.8	Berry	2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Town of Ludlow	Pi31	not applicable	42.30844	-71.3412	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	14497052	7046	8882	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	605	7.684290567	151.1533907	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Test	Train	Train
13114.mayer.34.s006	Mayer34.sediment.6	mayer.34.s006	sediment	EMP_Feces_mayer_34_s006_a03_M_085	85	note applicable	UCSD	1A3_1_4_mayer-34-s006-a04.mzML	1A3_1_4_mayer-34-s006-a04	1	Bulk_201901_UCSD	Sample	Bulk	1/21/16 0:00	0.1	not applicable	sediment sample A3	1706	Mayer	34	Animas watershed	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small river biome	tributary	stream sediment	sediment	sediment	United States of America:State of Colorado:San Juan County:Animas River	A3	not applicable	36.82908	-107.99786	Animas Watershed	freshwater sediment metagenome	9190552	32501	155666	790	6.916794257	127.1931556	436	6.766422911	79.77133213	1303	7.315182408	228.3249365	1299	7.313207541	226.1965088	893	7.258691571	168.9820144	Train	Train	Train	Train
13114.berry.2.s016	Berry2.sediment.Un42	berry.2.s016	sediment	EMP_Feces_berry_2_s016_a03_M_005	5	note applicable	UCSD	1A4_1_5_berry-2-s016-a04.mzML	1A4_1_5_berry-2-s016-a04	1	Bulk_201901_UCSD	Sample	Bulk	3/14/02 0:00	0.42	not applicable	Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.	92.7	Berry	2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Norfolk County	Un42	not applicable	42.06	-71.37761	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	11955206	15535	7097	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	697	6.684057428	187.276112	691	6.677538996	184.3627655	599	6.658098895	164.5290288	Train	Train	Train	Train
13114.mayer.34.s004	Mayer34.sediment.4	mayer.34.s004	sediment	EMP_Feces_mayer_34_s004_a03_M_083	83	note applicable	UCSD	1A6_1_8_mayer-34-s004-a04.mzML	1A6_1_8_mayer-34-s004-a04	1	Bulk_201901_UCSD	Sample	Bulk	1/22/16 0:00	0.1	not applicable	sediment sample A1	2852	Mayer	34	Animas watershed	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small river biome	tributary	stream sediment	sediment	sediment	United States of America:State of Colorado:San Juan County:Animas River	A1	not applicable	37.81863	-107.6449	Animas Watershed	freshwater sediment metagenome	6824775	25678	89972	652	6.127275241	104.0727203	376	6.039905593	67.81759649	1039	7.006132468	172.8022833	1038	7.005502716	171.6976657	768	6.960827338	134.0461573	Train	Test	Train	Train
13114.berry.2.s013	Berry2.sediment.Un6	berry.2.s013	sediment	EMP_Feces_berry_2_s013_a03_M_259	259	note applicable	UCSD	1A7_1_9_berry-2-s013-a04.mzML	1A7_1_9_berry-2-s013-a04	1	Bulk_201901_UCSD	Sample	Bulk	3/14/02 0:00	0.06	not applicable	Freshwater sediment core slice from Uncas Pond MA.  Aseptically collected subsample.	92.7	Berry	2	Postglacial pond sediment profiles	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small lake biome	pond bed	lake sediment	sediment	sediment	United States of America:State of Massachusetts:Norfolk County	Un6	not applicable	42.06	-71.37761	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	freshwater sediment metagenome	14528843	15277	19574	466	6.682778764	85.49803129	396	6.615554284	73.50430852	1000	7.555438136	226.1156592	994	7.550340231	224.2916281	860	7.511376252	200.8728756	Train	Test	Train	Train
13114.mayer.34.s005	Mayer34.sediment.5	mayer.34.s005	sediment	EMP_Feces_mayer_34_s005_a03_M_084	84	note applicable	UCSD	1A8_1_10_mayer-34-s005-a04.mzML	1A8_1_10_mayer-34-s005-a04	1	Bulk_201901_UCSD	Sample	Bulk	1/22/16 0:00	0.1	not applicable	sediment sample A2	1988	Mayer	34	Animas watershed	EMP sample	Free-living	Non-saline	Sediment (non-saline)	Small river biome	tributary	stream sediment	sediment	sediment	United States of America:State of Colorado:San Juan County:Animas River	A2	not applicable	37.29547	-107.87073	Animas Watershed	freshwater sediment metagenome	12399515	39913	75752	906	6.389022761	139.5307671	426	6.291198118	76.47894111	1645	7.302999312	296.8894393	1632	7.297627541	291.7672857	995	7.179827145	192.2140945	Test	Test	Test	Train
