sample_name	sample_name_original	barcode_prefix	sample_type	gcms_sample_name	gcms_sequence	gcms_analysis_batch	gcms_run_location	lcms_sample_name_fbmn	lcms_sample_name_cmn	lcms_batch	lcms_position	lcms_extraction_protocol	lcms_sample_type	lcms_sample_type_sub	lcms_replicate	collection_timestamp	depth_sample	depth_method	description	elevation	emp500_principal_investigator	emp500_study_id	emp500_pi_study_id	emp500_title	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	environmental_package	geo_loc_name	host_subject_id	iron_mg_per_l	latitude	longitude	project_name	scientific_name	read_count_shotgun_r1	read_count_shotgun_woltka_uniq	read_count_shotgun_rep200	alpha_shotgun_woltka_min3450_richness	alpha_shotgun_woltka_min3450_shannon	alpha_shotgun_woltka_min3450_faithspd	alpha_shotgun_woltka_rar3450_richness	alpha_shotgun_woltka_rar3450_shannon	alpha_shotgun_woltka_rar3450_faithspd	alpha_shotgun_woltka_richness	alpha_shotgun_woltka_shannon	alpha_shotgun_woltka_faithspd	alpha_shotgun_woltka_min10k_richness	alpha_shotgun_woltka_min10k_shannon	alpha_shotgun_woltka_min10k_faithspd	alpha_shotgun_woltka_rar10k_richness	alpha_shotgun_woltka_rar10k_shannon	alpha_shotgun_woltka_rar10k_faithspd	songbird_train_empo_3
13114.6.Mock.Community1	Mock.Community1.P6	not applicable	mock community	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	no	not applicable	not applicable	not applicable	mock community	193.0	Knight	not applicable	not applicable	not applicable	EMP sample	Control	Positive	Mock community	urban biome	research facility	cell culture	misc environment	Not applicable	USA:CA:San Diego	Mock.Community	not applicable	not applicable	not applicable	not applicable	synthetic metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train
13114.6.Mock.Community2	Mock.Community2.P6	not applicable	mock community	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	no	not applicable	not applicable	not applicable	mock community	193.0	Knight	not applicable	not applicable	not applicable	EMP sample	Control	Positive	Mock community	urban biome	research facility	cell culture	misc environment	Not applicable	USA:CA:San Diego	Mock.Community	not applicable	not applicable	not applicable	not applicable	synthetic metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train
13114.6.Mock.Community3	Mock.Community3.P6	not applicable	mock community	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	no	not applicable	not applicable	not applicable	mock community	193.0	Knight	not applicable	not applicable	not applicable	EMP sample	Control	Positive	Mock community	urban biome	research facility	cell culture	misc environment	Not applicable	USA:CA:San Diego	Mock.Community	not applicable	not applicable	not applicable	not applicable	synthetic metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train
13114.6.Mock.Community4	Mock.Community4.P6	not applicable	mock community	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	no	not applicable	not applicable	not applicable	mock community	193.0	Knight	not applicable	not applicable	not applicable	EMP sample	Control	Positive	Mock community	urban biome	research facility	cell culture	misc environment	Not applicable	USA:CA:San Diego	Mock.Community	not applicable	not applicable	not applicable	not applicable	synthetic metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train
13114.7.Mock.Community1	Mock.Community1.P7	not applicable	mock community	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	no	not applicable	not applicable	not applicable	mock community	193.0	Knight	not applicable	not applicable	not applicable	EMP sample	Control	Positive	Mock community	urban biome	research facility	cell culture	misc environment	Not applicable	USA:CA:San Diego	Mock.Community	not applicable	not applicable	not applicable	not applicable	synthetic metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test
13114.7.Mock.Community2	Mock.Community2.P7	not applicable	mock community	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	no	not applicable	not applicable	not applicable	mock community	193.0	Knight	not applicable	not applicable	not applicable	EMP sample	Control	Positive	Mock community	urban biome	research facility	cell culture	misc environment	Not applicable	USA:CA:San Diego	Mock.Community	not applicable	not applicable	not applicable	not applicable	synthetic metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test
13114.7.Mock.Community3	Mock.Community3.P7	not applicable	mock community	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	no	not applicable	not applicable	not applicable	mock community	193.0	Knight	not applicable	not applicable	not applicable	EMP sample	Control	Positive	Mock community	urban biome	research facility	cell culture	misc environment	Not applicable	USA:CA:San Diego	Mock.Community	not applicable	not applicable	not applicable	not applicable	synthetic metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test
13114.7.Mock.Community4	Mock.Community4.P7	not applicable	mock community	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	no	not applicable	not applicable	not applicable	mock community	193.0	Knight	not applicable	not applicable	not applicable	EMP sample	Control	Positive	Mock community	urban biome	research facility	cell culture	misc environment	Not applicable	USA:CA:San Diego	Mock.Community	not applicable	not applicable	not applicable	not applicable	synthetic metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test
13114.7.Mock.Community5	Mock.Community5.P7	not applicable	mock community	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	no	not applicable	not applicable	not applicable	mock community	193.0	Knight	not applicable	not applicable	not applicable	EMP sample	Control	Positive	Mock community	urban biome	research facility	cell culture	misc environment	Not applicable	USA:CA:San Diego	Mock.Community	not applicable	not applicable	not applicable	not applicable	synthetic metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train
13114.angenent.65.s001	Angenent65.misc.104	angenent.65.s001	bioreactor sludge	EMP_Feces_angenent_65_s001_a03_M_185	185	note applicable	UCSD	5A1_2_2_angenent-65-s001-a04.mzML	5A1_2_2_angenent-65-s001-a04	5.00	5A1	Bulk_201901_UCSD	Sample	Bulk	no	8/9/11 0:00	not applicable	not applicable	Corn Beer Fermentation Bioreactor Biomass	123.0	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.104	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome	10443561.0	3028047.0	6524581.0	497.0	1.826695625	80.46656046	50.0	1.812389687	14.29842542	926.0	2.538905190183222	154.84642968278172	925.0	2.5388923543465407	154.48865442301872	114.0	2.545718200662302	34.86255725144292	Test
13114.angenent.65.s002	Angenent65.misc.519	angenent.65.s002	bioreactor sludge	EMP_Feces_angenent_65_s002_a03_M_186	186	note applicable	UCSD	5A3_2_9_angenent-65-s002-a04.mzML	5A3_2_9_angenent-65-s002-a04	5.00	5A3	Bulk_201901_UCSD	Sample	Bulk	no	9/27/12 0:00	not applicable	not applicable	Corn Beer Fermentation Bioreactor Biomass	123.0	Angenent	65	Angenent65	Rumen animals and bioreactor	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	anaerobic bioreactor	anaerobic sludge	host-associated	host-associated	United States of America:State of New York:City of Ithaca	LTA.misc.519	not applicable	42.44	-76.5	Corn Beer Fermentation Bioreactor	bioreactor metagenome	12716323.0	5225016.0	6950525.0	701.0	1.936200456	107.7534568	59.0	1.933611494	15.86416458	1285.0	2.7475699381053973	206.26695311759454	1283.0	2.7475066891664843	205.8779512936328	155.0	2.7551831806875766	46.08030644562631	Test
