rowid,mibig_accession,organism_name,ncbi_tax_id,smiles,inchikey,no_stereo_inchikey,compound_name,molecular_formula
1,BGC0000004,Aspergillus oryzae,5062,[H][C@@]12OC=C[C@]1([H])C1=C(O2)C=C(OC)C2=C1OC(=O)C1=C2CCOC1=O,XWIYFDMXXLINPU-RBHXEPJQSA-N,XWIYFDMXXLINPU,aflatoxin G1,C17H12O7
2,BGC0001190,Fusarium verticillioides 7600,334819,CCCCC1=CN=C(C=C1)C(=O)O,DGMPVYSXXIOGJY-UHFFFAOYSA-N,DGMPVYSXXIOGJY,fusaric acid,C10H13NO2
3,BGC0000386,Burkholderia thailandensis E264,271848,NCCCCNC(=O)[C@H](CCCN(O)C=O)NC(=O)[C@H](CO)NC(=O)[C@H](NC(=O)[C@H](CCCN(=O)=O)NC=O)[C@@H](O)C(O)=O,SFTPYNFMHUKKSK-NNPSNHGLSA-N,SFTPYNFMHUKKSK,malleobactin A,C23H40N8O13
4,BGC0000386,Burkholderia thailandensis E264,271848,NCCCCNC(=O)[C@H](CCCN(O)C=O)NC(=O)[C@H](CO)NC(=O)[C@H](NC(=O)[C@H](CCCNO)NC=O)[C@@H](O)C(O)=O,KRCPSWOWIGAKSZ-NNPSNHGLSA-N,KRCPSWOWIGAKSZ,malleobactin B,C23H42N8O12
5,BGC0000386,Burkholderia thailandensis E264,271848,NCCCCNC(=O)[C@H](CCCN(O)C=O)NC(=O)[C@H](CO)NC(=O)[C@H](NC(=O)[C@H](CCCN=O)NC=O)[C@@H](O)C(O)=O,AMASLVSVWKIJNI-NNPSNHGLSA-N,AMASLVSVWKIJNI,malleobactin C,C23H40N8O12
6,BGC0000386,Burkholderia thailandensis E264,271848,NCCCCNC(=O)[C@H](CCCN(O)C=O)NC(=O)[C@H](CO)NC(=O)[C@H](NC(=O)[C@H](CCCN=N(=O)CCC[C@H](NC=O)C(=O)N[C@H]([C@@H](O)C(O)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCN(O)C=O)C(=O)NCCCCN)NC=O)[C@@H](O)C(O)=O,AOKYZSLJEULWJU-QFFUMYQBSA-N,AOKYZSLJEULWJU,malleobactin D,C46H80N16O23
7,BGC0000090,Actinosynnema pretiosum subsp. pretiosum,103721,CO[C@H]1C[C@H](C)[C@@H](OC)C2=CC(=O)C=C(NC(=O)\C(C)=C\C=C/[C@@H](C)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1OC)C2=O,PLTGBUPHJAKFMA-RCZMPJGQSA-N,PLTGBUPHJAKFMA,macbecin,C30H42N2O8
8,BGC0000090,Actinosynnema pretiosum subsp. pretiosum,103721,COC1CC(C)C(OC)C2=C(O)C(NC(=O)\C(C)=C/C=C\C(C)C(OC(N)=O)\C(C)=C/C(C)C1OC)=CC(O)=C2,SVSFCSOFEPJFSF-CIELKHGCSA-N,SVSFCSOFEPJFSF,macbecin II,C30H44N2O8
9,BGC0000602,Bacillus subtilis subsp. spizizenii ATCC 6633,703612,CC[C@H](C)[C@@H](C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](C)C(=O)NCC(=O)O)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CS)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CO)NC(=O)[C@H](CS)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](C)NC(=O)[C@H](CS)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)[C@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)CN,NRQODXJXWWUXFE-LYQFAKRDSA-N,NRQODXJXWWUXFE,subtilosin A,C129H208N36O41S3
10,BGC0000900,Aspergillus oryzae,5062,CC(=O)N(CCC[C@H]1C(=O)NCC(=O)NCC(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCCN(C(=O)C)O)CCCN(C=O)O)O,ZZDYFKJSJLUQON-UFYCRDLUSA-N,ZZDYFKJSJLUQON,ferrichrome,C26H43N9O12
11,BGC0001143,Aspergillus niger ATCC 1015,380704,CCC(C)CC(C)C(=O)OC1(C(=O)C=C2C=C(OC=C2C1=O)C(=O)O)C,GIDMWMOVOCXADR-UHFFFAOYSA-N,GIDMWMOVOCXADR,azanigerone A,C19H22O7
12,BGC0000113,Streptomyces caelestis,36816,CC1C/C=C/C=C\C(=O)C(CC(C(C(C(CC(=O)O1)O)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)OC(=O)CC(C)C)(C)O)N(C)C)O)CC=O)C,SSANHLOZXYEHCY-UDPMFAINSA-N,SSANHLOZXYEHCY,niddamycin,C40H65NO14
13,BGC0000166,Streptomyces fradiae,1906,CC[C@@H]1C[C@H](C(=O)/C=C/C(=C/[C@H]([C@H](OC(=O)C[C@H]([C@H]([C@H]1O)C)O)CC)C)/C)C,YJSXTLYNFBFHAT-OPSQKTBLSA-N,YJSXTLYNFBFHAT,tylactone,C23H38O5
14,BGC0000482,uncultured Prochloron sp.,259942,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@H](C3=N[C@@H](CS3)C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)COC(C)(C)C=C)[C@@H](C)OC(C)(C)C=C)CC4=CC=CC=C4)C,UTERRJKSLJLXTA-LVPVHDLMSA-N,UTERRJKSLJLXTA,trunkamide,C43H63N7O8S
15,BGC0000211,Streptomyces albaduncus,68172,C[C@@H]1[C@@H]([C@@]([C@H]([C@@H](O1)C2=C3C(=C(C=C2)O)C(=CC4=C3OC(=O)C5=CC(=CC(=C54)OC)C)OC)O)(C)O)O,BJPYMDSMDBCKEP-QSMCFSHASA-N,BJPYMDSMDBCKEP,chrysomycin,C27H28O9
16,BGC0001102,Burkholderia thailandensis E264,271848,CCCCCCC\C=C(/C)\C(\O)=C1/C=C(OC1=O)C(=O)CC,WCPYCTRXCHJSFX-SYXZMITDSA-N,WCPYCTRXCHJSFX,malleilactone,C18H26O4
17,BGC0000638,Pantoea ananatis,553,C[C@H](CCCCC(C)CCC[C@@H](C)CCCC(C)CCC=C(C)C)CCC[C@H](C)CCC[C@H](C)CCCC(C)(C)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,MQXYWDPDLKUSFB-HOOXQTDMSA-N,MQXYWDPDLKUSFB,carotenoid,C46H90O6
18,BGC0001022,Stigmatella aurantiaca,41,C[C@@H](CO)NC(=O)/C(=C/C=C/C=C\C=C\C(=C\[C@@H](C)[C@H](/C(=C/C(C)C)/C)O)\C)/C,QQZJCNSHAVQKIC-DDKJXSSXSA-N,QQZJCNSHAVQKIC,myxalamid,C25H39NO3
19,BGC0001029,Nostoc sp. 152,213632,CC[C@@H](C)[C@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@@H](CCC(N)=O)NC(=O)[C@@H](O)[C@@H](C[C@H](O)CCCC2=CC=CC=C2)NC(=O)[C@@H]2CCCN2C1=O,UQSINWJOXDSXPH-XHECVERBSA-N,UQSINWJOXDSXPH,nostophycin,C46H64N8O10
